2026-01-26 06:59:29 | DEBUG    | yfinance             |  Entering history()
2026-01-26 06:59:29 | DEBUG    | peewee               | ('CREATE TABLE IF NOT EXISTS "_tz_kv" ("key" VARCHAR(255) NOT NULL PRIMARY KEY, "value" VARCHAR(255)) WITHOUT ROWID', [])
2026-01-26 06:59:29 | DEBUG    | peewee               | ('SELECT "t1"."key", "t1"."value" FROM "_tz_kv" AS "t1" WHERE ("t1"."key" = ?) LIMIT ? OFFSET ?', ['6088027.SZ', 1, 0])
2026-01-26 06:59:29 | DEBUG    | yfinance             |   Entering _fetch_ticker_tz()
2026-01-26 06:59:29 | DEBUG    | yfinance             |    Entering get()
2026-01-26 06:59:29 | DEBUG    | yfinance             |     Entering _make_request()
2026-01-26 06:59:29 | DEBUG    | yfinance             | url=https://query2.finance.yahoo.com/v8/finance/chart/6088027.SZ
2026-01-26 06:59:29 | DEBUG    | yfinance             | params=frozendict.frozendict({'range': '1d', 'interval': '1d'})
2026-01-26 06:59:29 | DEBUG    | yfinance             |      Entering _get_cookie_and_crumb()
2026-01-26 06:59:29 | DEBUG    | yfinance             | cookie_mode = 'basic'
2026-01-26 06:59:29 | DEBUG    | yfinance             |       Entering _get_cookie_and_crumb_basic()
2026-01-26 06:59:29 | DEBUG    | yfinance             |        Entering _get_cookie_basic()
2026-01-26 06:59:29 | DEBUG    | yfinance             |         Entering _load_cookie_curlCffi()
2026-01-26 06:59:29 | DEBUG    | peewee               | ('CREATE TABLE IF NOT EXISTS "_cookieschema" ("strategy" VARCHAR(255) NOT NULL PRIMARY KEY, "fetch_date" DATETIME NOT NULL, "cookie_bytes" BLOB NOT NULL) WITHOUT ROWID', [])
2026-01-26 06:59:29 | DEBUG    | peewee               | ('SELECT "t1"."strategy", "t1"."fetch_date", "t1"."cookie_bytes" FROM "_cookieschema" AS "t1" WHERE ("t1"."strategy" = ?) LIMIT ? OFFSET ?', ['curlCffi', 1, 0])
2026-01-26 06:59:29 | DEBUG    | yfinance             |         Exiting _load_cookie_curlCffi()
2026-01-26 06:59:29 | DEBUG    | yfinance             | reusing persistent cookie
2026-01-26 06:59:29 | DEBUG    | yfinance             |        Exiting _get_cookie_basic()
2026-01-26 06:59:29 | DEBUG    | yfinance             |        Entering _get_crumb_basic()
2026-01-26 06:59:29 | DEBUG    | yfinance             |         Entering _get_cookie_basic()
2026-01-26 06:59:29 | DEBUG    | yfinance             | reusing cookie
2026-01-26 06:59:29 | DEBUG    | yfinance             |         Exiting _get_cookie_basic()
2026-01-26 06:59:29 | DEBUG    | yfinance             | crumb = 'BjE.FUYkUUa'
2026-01-26 06:59:29 | DEBUG    | yfinance             |        Exiting _get_crumb_basic()
2026-01-26 06:59:29 | DEBUG    | yfinance             |       Exiting _get_cookie_and_crumb_basic()
2026-01-26 06:59:29 | DEBUG    | yfinance             |      Exiting _get_cookie_and_crumb()
2026-01-26 06:59:29 | DEBUG    | yfinance             | response code=404
2026-01-26 06:59:29 | DEBUG    | yfinance             | toggling cookie strategy basic -> csrf
2026-01-26 06:59:29 | DEBUG    | yfinance             |      Entering _get_cookie_and_crumb()
2026-01-26 06:59:29 | DEBUG    | yfinance             | cookie_mode = 'csrf'
2026-01-26 06:59:29 | DEBUG    | yfinance             |       Entering _get_crumb_csrf()
2026-01-26 06:59:29 | DEBUG    | yfinance             |        Entering _get_cookie_csrf()
2026-01-26 06:59:29 | DEBUG    | yfinance             |         Entering _load_cookie_curlCffi()
2026-01-26 06:59:29 | DEBUG    | peewee               | ('SELECT "t1"."strategy", "t1"."fetch_date", "t1"."cookie_bytes" FROM "_cookieschema" AS "t1" WHERE ("t1"."strategy" = ?) LIMIT ? OFFSET ?', ['curlCffi', 1, 0])
2026-01-26 06:59:29 | DEBUG    | yfinance             |         Exiting _load_cookie_curlCffi()
2026-01-26 06:59:29 | DEBUG    | yfinance             | reusing persistent cookie
2026-01-26 06:59:29 | DEBUG    | yfinance             |        Exiting _get_cookie_csrf()
2026-01-26 06:59:30 | DEBUG    | yfinance             | crumb = 'BjE.FUYkUUa'
2026-01-26 06:59:30 | DEBUG    | yfinance             |       Exiting _get_crumb_csrf()
2026-01-26 06:59:30 | DEBUG    | yfinance             |      Exiting _get_cookie_and_crumb()
2026-01-26 06:59:30 | DEBUG    | yfinance             | response code=404
2026-01-26 06:59:30 | DEBUG    | yfinance             |     Exiting _make_request()
